image,xml
Pascal_tomato\train\001_11_jpg.rf.b17a7611d80c649b1465210253a141cd.jpg,Pascal_tomato\train\001_11_jpg.rf.b17a7611d80c649b1465210253a141cd.xml
Pascal_tomato\train\001_16_jpg.rf.9cae5a23ee22fcd10254e80db67ac6ca.jpg,Pascal_tomato\train\001_16_jpg.rf.9cae5a23ee22fcd10254e80db67ac6ca.xml
Pascal_tomato\train\001_16_jpg.rf.ce4939773a4874c38b1965e973d40c58.jpg,Pascal_tomato\train\001_16_jpg.rf.ce4939773a4874c38b1965e973d40c58.xml
Pascal_tomato\train\001_1_jpg.rf.575f19e1e9c913d69160b896b3e966f4.jpg,Pascal_tomato\train\001_1_jpg.rf.575f19e1e9c913d69160b896b3e966f4.xml
Pascal_tomato\train\001_1_jpg.rf.afc1a32a47d631f9c3b810a923da593d.jpg,Pascal_tomato\train\001_1_jpg.rf.afc1a32a47d631f9c3b810a923da593d.xml
Pascal_tomato\train\001_2_jpg.rf.7327bf7506bfa990244a07bb79bd6b4e.jpg,Pascal_tomato\train\001_2_jpg.rf.7327bf7506bfa990244a07bb79bd6b4e.xml
Pascal_tomato\train\001_6_jpg.rf.7658ec835711c602bdb3ef0c31a95691.jpg,Pascal_tomato\train\001_6_jpg.rf.7658ec835711c602bdb3ef0c31a95691.xml
Pascal_tomato\train\001_6_jpg.rf.95e2736579347773975105dae1e14531.jpg,Pascal_tomato\train\001_6_jpg.rf.95e2736579347773975105dae1e14531.xml
Pascal_tomato\train\001_7_jpg.rf.067a627587fc4f3553c7f44ae30b4896.jpg,Pascal_tomato\train\001_7_jpg.rf.067a627587fc4f3553c7f44ae30b4896.xml
Pascal_tomato\train\002_12_jpg.rf.26815089a0ba019fdf049c8f618c5aca.jpg,Pascal_tomato\train\002_12_jpg.rf.26815089a0ba019fdf049c8f618c5aca.xml
Pascal_tomato\train\002_12_jpg.rf.453ca28e00c9643bbfbebb0893a505eb.jpg,Pascal_tomato\train\002_12_jpg.rf.453ca28e00c9643bbfbebb0893a505eb.xml
Pascal_tomato\train\002_13_jpg.rf.369a7953b5812c88116311d3ab2d4197.jpg,Pascal_tomato\train\002_13_jpg.rf.369a7953b5812c88116311d3ab2d4197.xml
Pascal_tomato\train\002_13_jpg.rf.e6a1cb2b07acbc9e853edf390dfeb22e.jpg,Pascal_tomato\train\002_13_jpg.rf.e6a1cb2b07acbc9e853edf390dfeb22e.xml
Pascal_tomato\train\002_14_jpg.rf.00ace70bd681d5b94a8f1e2c1802905d.jpg,Pascal_tomato\train\002_14_jpg.rf.00ace70bd681d5b94a8f1e2c1802905d.xml
Pascal_tomato\train\002_14_jpg.rf.ecbc5270905cddde99423fd8aa2e0087.jpg,Pascal_tomato\train\002_14_jpg.rf.ecbc5270905cddde99423fd8aa2e0087.xml
Pascal_tomato\train\002_15_jpg.rf.8158f5282bda8f0047e37f210aff0d44.jpg,Pascal_tomato\train\002_15_jpg.rf.8158f5282bda8f0047e37f210aff0d44.xml
Pascal_tomato\train\002_15_jpg.rf.c5620a88dec443e51b4218d255e1679e.jpg,Pascal_tomato\train\002_15_jpg.rf.c5620a88dec443e51b4218d255e1679e.xml
Pascal_tomato\train\002_18_jpg.rf.690b6ad9845b56f3ac81142266844916.jpg,Pascal_tomato\train\002_18_jpg.rf.690b6ad9845b56f3ac81142266844916.xml
Pascal_tomato\train\002_18_jpg.rf.99016e794fec7fdfb7b3715980f84621.jpg,Pascal_tomato\train\002_18_jpg.rf.99016e794fec7fdfb7b3715980f84621.xml
Pascal_tomato\train\003_10_jpg.rf.fa8321efae941ce73cb163b45e58a706.jpg,Pascal_tomato\train\003_10_jpg.rf.fa8321efae941ce73cb163b45e58a706.xml
Pascal_tomato\train\003_11_jpg.rf.1375655f4cd1aeb29d122eac2e0fca9b.jpg,Pascal_tomato\train\003_11_jpg.rf.1375655f4cd1aeb29d122eac2e0fca9b.xml
Pascal_tomato\train\003_11_jpg.rf.8a20e8f13447d4e4197cb05324357464.jpg,Pascal_tomato\train\003_11_jpg.rf.8a20e8f13447d4e4197cb05324357464.xml
Pascal_tomato\train\003_13_jpg.rf.07816c8fb3e842dd1e53741a7fe735ae.jpg,Pascal_tomato\train\003_13_jpg.rf.07816c8fb3e842dd1e53741a7fe735ae.xml
Pascal_tomato\train\003_14_jpg.rf.e6d5d2322c333d42bf89fbb031f573e8.jpg,Pascal_tomato\train\003_14_jpg.rf.e6d5d2322c333d42bf89fbb031f573e8.xml
Pascal_tomato\train\003_14_jpg.rf.e9acbec1d2e323b8af7bef197bd20c89.jpg,Pascal_tomato\train\003_14_jpg.rf.e9acbec1d2e323b8af7bef197bd20c89.xml
Pascal_tomato\train\003_15_jpg.rf.4a51084e1c6d8ed2cd960b17a0eacaf0.jpg,Pascal_tomato\train\003_15_jpg.rf.4a51084e1c6d8ed2cd960b17a0eacaf0.xml
Pascal_tomato\train\003_16_jpg.rf.b088aa36ebae178d28d1baaa08851433.jpg,Pascal_tomato\train\003_16_jpg.rf.b088aa36ebae178d28d1baaa08851433.xml
Pascal_tomato\train\003_16_jpg.rf.bb061ac4f907fe2a65a300dbea83690b.jpg,Pascal_tomato\train\003_16_jpg.rf.bb061ac4f907fe2a65a300dbea83690b.xml
Pascal_tomato\train\003_17_jpg.rf.389b72024430e4fc4ec89c7fa1fcc081.jpg,Pascal_tomato\train\003_17_jpg.rf.389b72024430e4fc4ec89c7fa1fcc081.xml
Pascal_tomato\train\003_17_jpg.rf.aca61a0ef808aeba6960e0f4d18bc55b.jpg,Pascal_tomato\train\003_17_jpg.rf.aca61a0ef808aeba6960e0f4d18bc55b.xml
Pascal_tomato\train\003_19_jpg.rf.f060497a35bf12bf89512d7afd9ddf44.jpg,Pascal_tomato\train\003_19_jpg.rf.f060497a35bf12bf89512d7afd9ddf44.xml
Pascal_tomato\train\003_19_jpg.rf.f0a78ad48390a73b88070dafae082493.jpg,Pascal_tomato\train\003_19_jpg.rf.f0a78ad48390a73b88070dafae082493.xml
Pascal_tomato\train\003_1_jpg.rf.43f66cd77ba6d1f5042e0e74ad971b19.jpg,Pascal_tomato\train\003_1_jpg.rf.43f66cd77ba6d1f5042e0e74ad971b19.xml
Pascal_tomato\train\003_1_jpg.rf.a41f514f66a7bb4362fcc396c4b98868.jpg,Pascal_tomato\train\003_1_jpg.rf.a41f514f66a7bb4362fcc396c4b98868.xml
Pascal_tomato\train\003_21_jpg.rf.6766c80d6d89021d6af2799901fd1a8c.jpg,Pascal_tomato\train\003_21_jpg.rf.6766c80d6d89021d6af2799901fd1a8c.xml
Pascal_tomato\train\003_21_jpg.rf.a2fade22c83b6227716808aa18424592.jpg,Pascal_tomato\train\003_21_jpg.rf.a2fade22c83b6227716808aa18424592.xml
Pascal_tomato\train\003_22_jpg.rf.42cc808a6db339481f22b1a79c71ac69.jpg,Pascal_tomato\train\003_22_jpg.rf.42cc808a6db339481f22b1a79c71ac69.xml
Pascal_tomato\train\003_22_jpg.rf.f382d768f17bed190ac844461746562a.jpg,Pascal_tomato\train\003_22_jpg.rf.f382d768f17bed190ac844461746562a.xml
Pascal_tomato\train\003_23_jpg.rf.7e2b57ede0d330992898aa043e157fa2.jpg,Pascal_tomato\train\003_23_jpg.rf.7e2b57ede0d330992898aa043e157fa2.xml
Pascal_tomato\train\003_23_jpg.rf.f77f1345905ae4966ca2ee9fbfb9db3b.jpg,Pascal_tomato\train\003_23_jpg.rf.f77f1345905ae4966ca2ee9fbfb9db3b.xml
Pascal_tomato\train\003_24_jpg.rf.a3060b90d922dffd99bb07303bc61bf9.jpg,Pascal_tomato\train\003_24_jpg.rf.a3060b90d922dffd99bb07303bc61bf9.xml
Pascal_tomato\train\003_24_jpg.rf.af35bbff4690980c8b1f528e5344c1bb.jpg,Pascal_tomato\train\003_24_jpg.rf.af35bbff4690980c8b1f528e5344c1bb.xml
Pascal_tomato\train\003_2_jpg.rf.9416622d44249471191107d0d33ce82e.jpg,Pascal_tomato\train\003_2_jpg.rf.9416622d44249471191107d0d33ce82e.xml
Pascal_tomato\train\003_2_jpg.rf.bc95080317b78cf96d5a70011fc91bb9.jpg,Pascal_tomato\train\003_2_jpg.rf.bc95080317b78cf96d5a70011fc91bb9.xml
Pascal_tomato\train\003_6_jpg.rf.b1a41ca1e61db60bd8cf9d3f7c9cbcc0.jpg,Pascal_tomato\train\003_6_jpg.rf.b1a41ca1e61db60bd8cf9d3f7c9cbcc0.xml
Pascal_tomato\train\003_7_jpg.rf.98655b4c7201da1324ad134831eb3b8f.jpg,Pascal_tomato\train\003_7_jpg.rf.98655b4c7201da1324ad134831eb3b8f.xml
Pascal_tomato\train\003_8_jpg.rf.806cb8974abfced73330bec59e357358.jpg,Pascal_tomato\train\003_8_jpg.rf.806cb8974abfced73330bec59e357358.xml
Pascal_tomato\train\003_9_jpg.rf.1823d16d6d00eb239d18c77021e5a376.jpg,Pascal_tomato\train\003_9_jpg.rf.1823d16d6d00eb239d18c77021e5a376.xml
Pascal_tomato\train\003_9_jpg.rf.44e3a8f28b39b15e65e9c5329d8fd2ab.jpg,Pascal_tomato\train\003_9_jpg.rf.44e3a8f28b39b15e65e9c5329d8fd2ab.xml
Pascal_tomato\train\004_10_jpg.rf.203657caab3ff7295dbbe4f6cd3e05a6.jpg,Pascal_tomato\train\004_10_jpg.rf.203657caab3ff7295dbbe4f6cd3e05a6.xml
Pascal_tomato\train\004_10_jpg.rf.7b8517754735ceed1075815a24041e1e.jpg,Pascal_tomato\train\004_10_jpg.rf.7b8517754735ceed1075815a24041e1e.xml
Pascal_tomato\train\004_11_jpg.rf.431c5b16cd0a5fc680394763388333cb.jpg,Pascal_tomato\train\004_11_jpg.rf.431c5b16cd0a5fc680394763388333cb.xml
Pascal_tomato\train\004_11_jpg.rf.a8157acb2d03d374b28c0ff8c0f4089b.jpg,Pascal_tomato\train\004_11_jpg.rf.a8157acb2d03d374b28c0ff8c0f4089b.xml
